# ----------------------------------------
# 1 Master View
# Обзор аудитории
# 20190427-20190503
# ----------------------------------------

Индекс часа,Диапазон дат,Сегмент,Просмотры страниц
000137,27.04.2019 - 03.05.2019,Новые пользователи,390
000138,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,168
000138,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,10
000138,27.04.2019 - 03.05.2019,Новые пользователи,264
000139,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,113
000139,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,4
000139,27.04.2019 - 03.05.2019,Новые пользователи,294
000140,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,138
000140,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,4
000140,27.04.2019 - 03.05.2019,Новые пользователи,292
000141,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,73
000141,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,12
000141,27.04.2019 - 03.05.2019,Новые пользователи,294
000142,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,51
000142,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,1
000142,27.04.2019 - 03.05.2019,Новые пользователи,175
000143,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,25
000143,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,2
000143,27.04.2019 - 03.05.2019,Новые пользователи,211
000144,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,63
000144,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,4
000144,27.04.2019 - 03.05.2019,Новые пользователи,190
000145,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,50
000145,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,0
000145,27.04.2019 - 03.05.2019,Новые пользователи,155
000146,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,85
000146,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,10
000146,27.04.2019 - 03.05.2019,Новые пользователи,210
000147,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,36
000147,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,4
000147,27.04.2019 - 03.05.2019,Новые пользователи,155
000148,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,71
000148,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,13
000148,27.04.2019 - 03.05.2019,Новые пользователи,167
000149,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,107
000149,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,0
000149,27.04.2019 - 03.05.2019,Новые пользователи,203
000150,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,41
000150,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,1
000150,27.04.2019 - 03.05.2019,Новые пользователи,160
000151,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,59
000151,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,40
000151,27.04.2019 - 03.05.2019,Новые пользователи,400
000152,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,114
000152,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,5
000152,27.04.2019 - 03.05.2019,Новые пользователи,368
000153,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,171
000153,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,4
000153,27.04.2019 - 03.05.2019,Новые пользователи,678
000154,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,80
000154,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,20
000154,27.04.2019 - 03.05.2019,Новые пользователи,576
000155,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,140
000155,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,9
000155,27.04.2019 - 03.05.2019,Новые пользователи,543
000156,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,110
000156,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,1
000156,27.04.2019 - 03.05.2019,Новые пользователи,418
000157,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,120
000157,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,3
000157,27.04.2019 - 03.05.2019,Новые пользователи,526
000158,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,86
000158,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,12
000158,27.04.2019 - 03.05.2019,Новые пользователи,409
000159,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,161
000159,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,9
000159,27.04.2019 - 03.05.2019,Новые пользователи,392
000160,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,69
000160,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,11
000160,27.04.2019 - 03.05.2019,Новые пользователи,357
000161,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,123
000161,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,0
000161,27.04.2019 - 03.05.2019,Новые пользователи,245
000162,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,91
000162,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,35
000162,27.04.2019 - 03.05.2019,Новые пользователи,288
000163,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,90
000163,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,103
000163,27.04.2019 - 03.05.2019,Новые пользователи,332
000164,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,163
000164,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,6
000164,27.04.2019 - 03.05.2019,Новые пользователи,177
000165,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,118
000165,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,9
000165,27.04.2019 - 03.05.2019,Новые пользователи,228
000166,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,58
000166,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,20
000166,27.04.2019 - 03.05.2019,Новые пользователи,248
000167,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,90
000167,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,2
000167,27.04.2019 - 03.05.2019,Новые пользователи,244
,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,15 804
,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,1 584
,27.04.2019 - 03.05.2019,Новые пользователи,45 842
