CMPLNT_FR_DT,Number
2012-12-22,1251
2012-12-23,1247
2012-12-24,1036
2012-12-25,789
2012-12-26,1001
2012-12-27,1161
2012-12-28,1325
2012-12-29,1198
2012-12-30,1061
2012-12-31,1196
